,FECHA_DOC,DESCR,COSTO_UNITARIO
239,2022-02-25,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,161.1
240,2022-02-25,CARTUCHO Ø 10 MM X 460 MM 500W 220V,131.71
241,2022-02-25,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",0.0
242,2022-02-28,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",88.95
243,2022-02-28,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",7342.41
244,2022-02-28,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,0.0
245,2022-02-28,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",339.43
246,2022-02-28,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",29.29
247,2022-02-28,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",90.42
248,2022-02-28,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",0.0
249,2022-02-28,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",0.0
250,2022-02-28,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",0.0
251,2022-02-28,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",0.0
252,2022-02-28,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",0.0
253,2022-02-28,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",0.0
254,2022-02-28,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",173.44
255,2022-02-28,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",0.0
256,2022-02-28,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",0.0
257,2022-02-28,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",0.0
258,2022-02-28,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",0.0
259,2022-02-28,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",0.0
260,2022-02-28,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,0.0
261,2022-02-28,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",236.98
262,2022-02-28,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",0.0
263,2022-02-28,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",0.0
264,2022-02-28,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",0.0
265,2022-02-28,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",33.9
266,2022-03-01,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,688.31
267,2022-03-02,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",236.68
268,2022-03-02,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",210.46
269,2022-03-02,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",1214.3
270,2022-03-03,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,918.12
271,2022-03-03,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,0.0
272,2022-03-03,"BOQUILLA 2X2""  350W 240V""",220.0
273,2022-03-03,REPARACION DE BRIDA DE 125KW 1240V DELTA,0.0
274,2022-03-03,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",173.44
275,2022-03-03,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",78.24
276,2022-03-03,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,211.36
277,2022-03-03,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,137.48
278,2022-03-04,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",0.0
279,2022-03-04,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",235.81
280,2022-03-04,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",370.94
281,2022-03-04,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",0.0
282,2022-03-04,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",0.0
283,2022-03-07,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,87.1
284,2022-03-07,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",435.26
285,2022-03-07,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",67.47
286,2022-03-08,BAN INOX 170MMØX55MM 1300W 440V C/STD,122.14
287,2022-03-08,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,152.37
288,2022-03-08,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",0.0
289,2022-03-09,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,216.65
290,2022-03-09,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",1246.35
291,2022-03-09,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",143.8
292,2022-03-09,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",326.23
293,2022-03-09,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",212.44
294,2022-03-09,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",317.3
295,2022-03-09,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",317.3
296,2022-03-10,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",269.6
297,2022-03-10,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",0.0
298,2022-03-10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,87.1
299,2022-03-10,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",119.05
300,2022-03-10,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85
301,2022-03-10,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",143.8
302,2022-03-11,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",2644.78
303,2022-03-11,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",303.31
304,2022-03-11,PT-100 6MMØX110MM CONECTOR EXT15MTS,673.14
305,2022-03-11,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",0.0
306,2022-03-11,"BOQUILLA 11/2X1""1/2"" 300W 240V""",220.0
